"name","value","year"
"S 其他服務業",48503,"1983"
"SA.對家庭服務之非營利機構",4316,"1983"
"SB.家事服務業",11287,"1983"
"SC.未分類其他服務業",32900,"1983"
"合 計",2076853,"1983"
"進口稅",83648,"1983"
"加值型營業稅",0,"1983"
"總 計(生產面)",2160501,"1983"
"統計差異",7642,"1983"
"GDP",2168143,"1983"
"補充項目:ICT產業",95491,"1983"
"A 農、林、漁、牧業",150818,"1984"
"AA.農耕業",98146,"1984"
"AB.畜牧業",14326,"1984"
"AC.林業",6617,"1984"
"AD.漁業",31729,"1984"
"B 礦業及土石採取業",35515,"1984"
"C 製造業",850899,"1984"
"CA.食品製造業",58447,"1984"
"CB.飲料及菸草製造業",49363,"1984"
"CC.紡織業",77576,"1984"
"CD.成衣及服飾品製造業",54641,"1984"
"CE.皮革、毛皮及其製品製造業",41976,"1984"
"CF.木竹製品製造業",14052,"1984"
"CG.紙漿、紙及紙製品製造業",23496,"1984"
"CH.印刷及資料儲存媒體複製業",10248,"1984"
"CI.石油及煤製品製造業",35554,"1984"
"CJ.化學材料製造業",59192,"1984"
"CK.化學製品製造業",8716,"1984"
"CL.藥品製造業",3504,"1984"
"CM.橡膠製品製造業",8442,"1984"
"CN.塑膠製品製造業",28223,"1984"
"CO.非金屬礦物製品製造業",32882,"1984"
"CP.基本金屬製造業",42285,"1984"
"CQ.金屬製品製造業",43001,"1984"
"CR.電子零組件製造業",39187,"1984"
"CS.電腦、電子產品及光學製品製造業",40803,"1984"
"CT.電力設備製造業",38135,"1984"
"CU.機械設備製造業",21602,"1984"
"CV.汽車及其零件製造業",24539,"1984"
"CW.其他運輸工具製造業",27056,"1984"
"CX.家具製造業",10059,"1984"
"CY.其他製造業",57920,"1984"
"D 電力及燃氣供應業",81243,"1984"
"DA.電力供應業",79097,"1984"
"DB.氣體燃料供應業",2146,"1984"
"E 用水供應及污染整治業",17937,"1984"
"EA.用水供應業",6348,"1984"
"EB.污染整治業",11589,"1984"
"F 營造業",98412,"1984"
"G 批發及零售業",295177,"1984"
"GA.批發業",140081,"1984"
"GB.零售業",155096,"1984"
"H 運輸及倉儲業",108012,"1984"
"HA.陸上運輸業",61170,"1984"
"HB.水上運輸業",11768,"1984"
"HC.航空運輸業",8417,"1984"
"HD.運輸輔助及倉儲業",22417,"1984"
"HE.郵政及快遞業",4240,"1984"
"I 住宿及餐飲業",28391,"1984"
"IA住宿服務業",7587,"1984"
"IB.餐飲業",20804,"1984"
"J 資訊及通訊傳播業",48530,"1984"
"JA.傳播業",10406,"1984"
"JB.電信業",35994,"1984"
"JC.資訊業",2130,"1984"
"K 金融及保險業",81186,"1984"
"KA.金融中介業",58140,"1984"
"KB.保險業",20984,"1984"
"KC.證券期貨及其他金融業",2062,"1984"
"L 不動產業",122499,"1984"
"LA.不動產業",12162,"1984"
"LB.住宅服務",110337,"1984"
"M 專業、科學及技術服務業",26756,"1984"
"N 支援服務業",13209,"1984"
"NA.租賃業",9212,"1984"
"NB.其他支援服務業",3997,"1984"
"O 公共行政及國防",204396,"1984"
"P 教育服務業",63365,"1984"
"Q 醫療保健及社會工作服務業",22753,"1984"
"QA.醫療保健服務業",21530,"1984"
"QB.社會工作服務業",1223,"1984"
"R 藝術、娛樂及休閒服務業",12231,"1984"
"S 其他服務業",52618,"1984"
"SA.對家庭服務之非營利機構",4770,"1984"
"SB.家事服務業",12978,"1984"
"SC.未分類其他服務業",34870,"1984"
"合 計",2313947,"1984"
"進口稅",91685,"1984"
"加值型營業稅",0,"1984"
"總 計(生產面)",2405632,"1984"
"統計差異",8745,"1984"
"GDP",2414377,"1984"
"補充項目:ICT產業",118114,"1984"
"A 農、林、漁、牧業",144594,"1985"
"AA.農耕業",95565,"1985"
"AB.畜牧業",9992,"1985"
"AC.林業",5950,"1985"
"AD.漁業",33087,"1985"
"B 礦業及土石採取業",33841,"1985"
"C 製造業",880978,"1985"
"CA.食品製造業",61975,"1985"
"CB.飲料及菸草製造業",51833,"1985"
"CC.紡織業",82026,"1985"
"CD.成衣及服飾品製造業",53106,"1985"
"CE.皮革、毛皮及其製品製造業",45605,"1985"
"CF.木竹製品製造業",15117,"1985"
"CG.紙漿、紙及紙製品製造業",24698,"1985"
"CH.印刷及資料儲存媒體複製業",10162,"1985"
"CI.石油及煤製品製造業",32600,"1985"
"CJ.化學材料製造業",64600,"1985"
"CK.化學製品製造業",9940,"1985"
"CL.藥品製造業",3976,"1985"
"CM.橡膠製品製造業",10151,"1985"
"CN.塑膠製品製造業",34902,"1985"
"CO.非金屬礦物製品製造業",33651,"1985"
"CP.基本金屬製造業",40737,"1985"
"CQ.金屬製品製造業",46509,"1985"
"CR.電子零組件製造業",36950,"1985"
"CS.電腦、電子產品及光學製品製造業",40999,"1985"
"CT.電力設備製造業",40089,"1985"
"CU.機械設備製造業",23598,"1985"
"CV.汽車及其零件製造業",23268,"1985"
"CW.其他運輸工具製造業",25711,"1985"
"CX.家具製造業",10149,"1985"
"CY.其他製造業",58626,"1985"
"D 電力及燃氣供應業",92069,"1985"
"DA.電力供應業",89616,"1985"
"DB.氣體燃料供應業",2453,"1985"
"E 用水供應及污染整治業",18613,"1985"
"EA.用水供應業",6678,"1985"
"EB.污染整治業",11935,"1985"
"F 營造業",99192,"1985"
"G 批發及零售業",309167,"1985"
"GA.批發業",139157,"1985"
"GB.零售業",170010,"1985"
"H 運輸及倉儲業",117282,"1985"
"HA.陸上運輸業",65187,"1985"
"HB.水上運輸業",15593,"1985"
"HC.航空運輸業",9064,"1985"
"HD.運輸輔助及倉儲業",22909,"1985"
"HE.郵政及快遞業",4529,"1985"
"I 住宿及餐飲業",34628,"1985"
"IA住宿服務業",11872,"1985"
"IB.餐飲業",22756,"1985"
"J 資訊及通訊傳播業",51784,"1985"
"JA.傳播業",10776,"1985"
"JB.電信業",38316,"1985"
"JC.資訊業",2692,"1985"
"K 金融及保險業",100678,"1985"
"KA.金融中介業",75082,"1985"
"KB.保險業",24188,"1985"
"KC.證券期貨及其他金融業",1408,"1985"
"L 不動產業",133354,"1985"
